Title,Experience,Location,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8
Software Engineer,0-2 years,Bangalore,Git,SQL,C++,Data Structures,Python,Java,OOP,Algorithms
Software Engineer,5-10 years,Mumbai,Data Structures,C++,Algorithms,SQL,Python,OOP,Git,Java
Software Engineer,10+ years,Delhi,Data Structures,SQL,Java,Python,OOP,C++,Algorithms,Git
Software Engineer,10+ years,Hyderabad,Algorithms,Git,OOP,Data Structures,Python,C++,SQL,Java
Software Engineer,2-5 years,Pune,OOP,Git,Algorithms,Data Structures,SQL,Python,C++,Java
Software Engineer,2-5 years,Chennai,OOP,SQL,Git,Java,Python,Algorithms,Data Structures,C++
Software Engineer,0-2 years,Gurgaon,Java,OOP,Python,Git,C++,SQL,Algorithms,Data Structures
Software Engineer,10+ years,Noida,Python,SQL,Data Structures,Git,C++,Java,OOP,Algorithms
Software Engineer,10+ years,Kolkata,Git,Data Structures,Java,OOP,SQL,C++,Algorithms,Python
Software Engineer,5-10 years,Ahmedabad,SQL,Git,Algorithms,Data Structures,Python,Java,C++,OOP
Data Analyst,5-10 years,Bangalore,Excel,Statistics,Power BI,Tableau,SQL,Data Cleaning,Python,Visualization
Data Analyst,2-5 years,Mumbai,Power BI,Visualization,Statistics,SQL,Tableau,Python,Data Cleaning,Excel
Data Analyst,5-10 years,Delhi,Python,Statistics,Tableau,Excel,Power BI,Data Cleaning,Visualization,SQL
Data Analyst,0-2 years,Hyderabad,Statistics,Tableau,Power BI,Data Cleaning,SQL,Excel,Python,Visualization
Data Analyst,10+ years,Pune,Statistics,Power BI,Data Cleaning,SQL,Visualization,Tableau,Excel,Python
Data Analyst,10+ years,Chennai,Power BI,Excel,SQL,Python,Tableau,Data Cleaning,Statistics,Visualization
Data Analyst,0-2 years,Gurgaon,Tableau,SQL,Statistics,Excel,Data Cleaning,Visualization,Python,Power BI
Data Analyst,0-2 years,Noida,Visualization,SQL,Excel,Power BI,Python,Statistics,Data Cleaning,Tableau
Data Analyst,5-10 years,Kolkata,Excel,Power BI,SQL,Statistics,Python,Visualization,Data Cleaning,Tableau
Data Analyst,2-5 years,Ahmedabad,Excel,Python,Tableau,Statistics,Data Cleaning,Power BI,Visualization,SQL
Machine Learning Engineer,10+ years,Bangalore,NLP,PyTorch,TensorFlow,Python,Deep Learning,Scikit-learn,Computer Vision,Big Data
Machine Learning Engineer,10+ years,Mumbai,PyTorch,Computer Vision,Deep Learning,Scikit-learn,NLP,Python,TensorFlow,Big Data
Machine Learning Engineer,2-5 years,Delhi,NLP,Scikit-learn,Big Data,Deep Learning,Python,TensorFlow,PyTorch,Computer Vision
Machine Learning Engineer,2-5 years,Hyderabad,Scikit-learn,Computer Vision,NLP,TensorFlow,Python,PyTorch,Big Data,Deep Learning
Machine Learning Engineer,0-2 years,Pune,TensorFlow,Scikit-learn,NLP,Deep Learning,PyTorch,Python,Computer Vision,Big Data
Machine Learning Engineer,5-10 years,Chennai,Scikit-learn,Big Data,TensorFlow,Deep Learning,Computer Vision,PyTorch,Python,NLP
Machine Learning Engineer,5-10 years,Gurgaon,NLP,Scikit-learn,Computer Vision,Python,PyTorch,Deep Learning,TensorFlow,Big Data
Machine Learning Engineer,10+ years,Noida,Computer Vision,Python,PyTorch,Big Data,Deep Learning,Scikit-learn,TensorFlow,NLP
Machine Learning Engineer,5-10 years,Kolkata,PyTorch,Computer Vision,Deep Learning,Scikit-learn,Python,NLP,Big Data,TensorFlow
